time,state,car_sales,car_sales2,,,,,,,,,,,,,,,,,,,,
1-Apr-13,TAS,1 273,1273,,,,,,,,,,,,,,,,,,,,
1-Apr-13,NT,971,971,,,,,,,,,,,,,,,,,,,,
1-Apr-13,ACT,1 324,1324,,,,,,,,,,,,,,,,,,,,
1-May-13,NSW,29 707,29707,,,,,,,,,,,,,,,,,,,,
1-May-13,VIC,26 226,26226,,,,,,,,,,,,,,,,,,,,
1-May-13,QLD,20 221,20221,,,,,,,,,,,,,,,,,,,,
1-May-13,SA,5 761,5761,,,,,,,,,,,,,,,,,,,,
1-May-13,WA,10 610,10610,,,,,,,,,,,,,,,,,,,,
1-May-13,TAS,1 597,1597,,,,,,,,,,,,,,,,,,,,
1-May-13,NT,1 132,1132,,,,,,,,,,,,,,,,,,,,
1-May-13,ACT,1 534,1534,,,,,,,,,,,,,,,,,,,,
1-Jun-13,NSW,37 194,37194,,,,,,,,,,,,,,,,,,,,
1-Jun-13,VIC,30 647,30647,,,,,,,,,,,,,,,,,,,,
1-Jun-13,QLD,26 245,26245,,,,,,,,,,,,,,,,,,,,
1-Jun-13,SA,6 999,6999,,,,,,,,,,,,,,,,,,,,
1-Jun-13,WA,12 782,12782,,,,,,,,,,,,,,,,,,,,
1-Jun-13,TAS,1 917,1917,,,,,,,,,,,,,,,,,,,,
1-Jun-13,NT,1 162,1162,,,,,,,,,,,,,,,,,,,,
1-Jun-13,ACT,1 812,1812,,,,,,,,,,,,,,,,,,,,
1-Jul-13,NSW,27 789,27789,,,,,,,,,,,,,,,,,,,,
1-Jul-13,VIC,24 584,24584,,,,,,,,,,,,,,,,,,,,
1-Jul-13,QLD,18 618,18618,,,,,,,,,,,,,,,,,,,,
1-Jul-13,SA,5 485,5485,,,,,,,,,,,,,,,,,,,,
1-Jul-13,WA,9 848,9848,,,,,,,,,,,,,,,,,,,,
1-Jul-13,TAS,1 466,1466,,,,,,,,,,,,,,,,,,,,
1-Jul-13,NT,1 049,1049,,,,,,,,,,,,,,,,,,,,
1-Jul-13,ACT,1 396,1396,,,,,,,,,,,,,,,,,,,,
1-Aug-13,NSW,29 223,29223,,,,,,,,,,,,,,,,,,,,
1-Aug-13,VIC,25 210,25210,,,,,,,,,,,,,,,,,,,,
1-Aug-13,QLD,19 101,19101,,,,,,,,,,,,,,,,,,,,
1-Aug-13,SA,5 730,5730,,,,,,,,,,,,,,,,,,,,
1-Aug-13,WA,10 177,10177,,,,,,,,,,,,,,,,,,,,
1-Aug-13,TAS,1 491,1491,,,,,,,,,,,,,,,,,,,,
1-Aug-13,NT,967,967,,,,,,,,,,,,,,,,,,,,
1-Aug-13,ACT,1 437,1437,,,,,,,,,,,,,,,,,,,,
1-Sep-13,NSW,28 702,28702,,,,,,,,,,,,,,,,,,,,
1-Sep-13,VIC,25 430,25430,,,,,,,,,,,,,,,,,,,,
1-Sep-13,QLD,18 498,18498,,,,,,,,,,,,,,,,,,,,
1-Sep-13,SA,5 847,5847,,,,,,,,,,,,,,,,,,,,
1-Sep-13,WA,10 153,10153,,,,,,,,,,,,,,,,,,,,
1-Sep-13,TAS,1 835,1835,,,,,,,,,,,,,,,,,,,,
1-Sep-13,NT,852,852,,,,,,,,,,,,,,,,,,,,
1-Sep-13,ACT,1 345,1345,,,,,,,,,,,,,,,,,,,,
1-Oct-13,NSW,28 519,28519,,,,,,,,,,,,,,,,,,,,
1-Oct-13,VIC,25 961,25961,,,,,,,,,,,,,,,,,,,,
1-Oct-13,QLD,18 057,18057,,,,,,,,,,,,,,,,,,,,
1-Oct-13,SA,5 732,5732,,,,,,,,,,,,,,,,,,,,
1-Oct-13,WA,10 305,10305,,,,,,,,,,,,,,,,,,,,
1-Oct-13,TAS,1 737,1737,,,,,,,,,,,,,,,,,,,,
1-Oct-13,NT,853,853,,,,,,,,,,,,,,,,,,,,
1-Oct-13,ACT,1 439,1439,,,,,,,,,,,,,,,,,,,,
1-Nov-13,NSW,30 496,30496,,,,,,,,,,,,,,,,,,,,
1-Nov-13,VIC,27 547,27547,,,,,,,,,,,,,,,,,,,,
1-Nov-13,QLD,18 381,18381,,,,,,,,,,,,,,,,,,,,
1-Nov-13,SA,6 216,6216,,,,,,,,,,,,,,,,,,,,
1-Nov-13,WA,9 815,9815,,,,,,,,,,,,,,,,,,,,
1-Nov-13,TAS,1 984,1984,,,,,,,,,,,,,,,,,,,,
1-Nov-13,NT,904,904,,,,,,,,,,,,,,,,,,,,
1-Nov-13,ACT,1 581,1581,,,,,,,,,,,,,,,,,,,,
1-Dec-13,NSW,29 966,29966,,,,,,,,,,,,,,,,,,,,
1-Dec-13,VIC,26 316,26316,,,,,,,,,,,,,,,,,,,,
1-Dec-13,QLD,19 718,19718,,,,,,,,,,,,,,,,,,,,
1-Dec-13,SA,6 039,6039,,,,,,,,,,,,,,,,,,,,
1-Dec-13,WA,10 287,10287,,,,,,,,,,,,,,,,,,,,
1-Dec-13,TAS,2 009,2009,,,,,,,,,,,,,,,,,,,,
1-Dec-13,NT,835,835,,,,,,,,,,,,,,,,,,,,
1-Dec-13,ACT,1 586,1586,,,,,,,,,,,,,,,,,,,,
1-Jan-14,NSW,27 080,27080,,,,,,,,,,,,,,,,,,,,
1-Jan-14,VIC,21 289,21289,,,,,,,,,,,,,,,,,,,,
1-Jan-14,QLD,16 660,16660,,,,,,,,,,,,,,,,,,,,
1-Jan-14,SA,5 082,5082,,,,,,,,,,,,,,,,,,,,
1-Jan-14,WA,8 707,8707,,,,,,,,,,,,,,,,,,,,
1-Jan-14,TAS,1 280,1280,,,,,,,,,,,,,,,,,,,,
1-Jan-14,NT,713,713,,,,,,,,,,,,,,,,,,,,
1-Jan-14,ACT,1 474,1474,,,,,,,,,,,,,,,,,,,,
1-Feb-14,NSW,27 585,27585,,,,,,,,,,,,,,,,,,,,
1-Feb-14,VIC,23 411,23411,,,,,,,,,,,,,,,,,,,,
1-Feb-14,QLD,17 367,17367,,,,,,,,,,,,,,,,,,,,
1-Feb-14,SA,5 567,5567,,,,,,,,,,,,,,,,,,,,
